scenario,stage,participant,period,side,quantity_mwh,price_eur_mwh,cash_eur,order
Baseline,FM,PV_C,13,sell,3.594e-05,85.0,0.0030548999999999997,PV_COM
Baseline,FM,COM,13,buy,3.594e-05,85.0,-0.0030548999999999997,PV_COM
Baseline,FM,PV_C,14,sell,3.594e-05,85.0,0.0030548999999999997,PV_COM
Baseline,FM,COM,14,buy,3.594e-05,85.0,-0.0030548999999999997,PV_COM
Baseline,FM,PV_C,15,sell,2.7334115999999997,85.0,232.33998599999998,PV_COM
Baseline,FM,COM,15,buy,2.7334115999999997,85.0,-232.33998599999998,PV_COM
Baseline,FM,PV_C,16,sell,2.7334115999999997,85.0,232.33998599999998,PV_COM
Baseline,FM,COM,16,buy,2.7334115999999997,85.0,-232.33998599999998,PV_COM
Baseline,FM,PV_C,17,sell,13.25750808,85.0,1126.8881867999999,PV_COM
Baseline,FM,COM,17,buy,13.25750808,85.0,-1126.8881867999999,PV_COM
Baseline,FM,PV_C,18,sell,13.25750808,85.0,1126.8881867999999,PV_COM
Baseline,FM,COM,18,buy,13.25750808,85.0,-1126.8881867999999,PV_COM
Baseline,FM,PV_C,19,sell,24.790708799999997,85.0,2107.210248,PV_COM
Baseline,FM,COM,19,buy,24.790708799999997,85.0,-2107.210248,PV_COM
Baseline,FM,PV_C,20,sell,24.790708799999997,85.0,2107.210248,PV_COM
Baseline,FM,COM,20,buy,24.790708799999997,85.0,-2107.210248,PV_COM
Baseline,FM,PV_C,21,sell,30.83372664,85.0,2620.8667643999997,PV_COM
Baseline,FM,COM,21,buy,30.83372664,85.0,-2620.8667643999997,PV_COM
Baseline,FM,PV_C,22,sell,30.83372664,85.0,2620.8667643999997,PV_COM
Baseline,FM,COM,22,buy,30.83372664,85.0,-2620.8667643999997,PV_COM
Baseline,FM,PV_C,23,sell,33.20405622,85.0,2822.3447787,PV_COM
Baseline,FM,COM,23,buy,33.20405622,85.0,-2822.3447787,PV_COM
Baseline,FM,PV_C,24,sell,33.20405622,85.0,2822.3447787,PV_COM
Baseline,FM,COM,24,buy,33.20405622,85.0,-2822.3447787,PV_COM
Baseline,FM,PV_C,25,sell,32.802520439999995,85.0,2788.2142373999995,PV_COM
Baseline,FM,COM,25,buy,32.802520439999995,85.0,-2788.2142373999995,PV_COM
Baseline,FM,PV_C,26,sell,32.802520439999995,85.0,2788.2142373999995,PV_COM
Baseline,FM,COM,26,buy,32.802520439999995,85.0,-2788.2142373999995,PV_COM
Baseline,FM,PV_C,27,sell,29.991842039999998,85.0,2549.3065733999997,PV_COM
Baseline,FM,COM,27,buy,29.991842039999998,85.0,-2549.3065733999997,PV_COM
Baseline,FM,PV_C,28,sell,29.991842039999998,85.0,2549.3065733999997,PV_COM
